First Name,Last Name,Email Address,Industry,Status,Street,Phone,Birthdate,Postal Code
Tariq,Miah,tariq@company1.com,Finance,,21_Spurs_Ln_245,2104877463,1987-06-21,04662
Walter,Jenkins,wjenkins@company2.com,Transportation,OK,1118_Euclid_Ave_NE,4048634129,1976-08-08,14738
Francine,Thibault,fran@company3.com,Retail,,2323_Oak_St,8109855255,1987-05-15,68023
Avinash,Jain,avinash.jain@company4.com,Healthcare,,1_Marine_Way,4158681632,1993-04-06,17563
Alessia,Zullo,alessia@company5.com,Education,OK,220_Tom_Hill_Sr_Blvd,4784747582,1961-05-19,92704
Irma,Klein,klein@company6.com,Power,,6110_Derry_St,7175619895,1959-03-16,48637
Sumida,Akihiro,sumida@company7.com,Logistics,,121_Shue_Dr,9373942108,1977-12-10,84003
Tunç,Kurtoglu,tunc@company9.com,Manufacturing,,205_E_Hospitality_Ln,9098887571,1987-09-27,28119
Aisha,Tinibu,tinibu@company10.com,Finance,,231_Central_Fwy,9405691400,1996-10-31,05488
Jeom,Changmin,jeomchangmin@company11.com,Transportation,OK,709_U.S._71,4793941131,1997-09-21,30022
Reina,Perez,rp@company12.com,Retail,,7490_S_University_Blvd,3032212038,1997-08-14,79745
Aleksandr,Frolov,alex@company13.com,Healthcare,,368_Patricia_Ave,7277363008,1968-07-03,81252
Bai,Tao,tao@company14.com,Education,OK,6770_New_York_Ave,5299930901,1987-04-17,60422
Fearghas,Mahoneyi,ferg@company16.com,Power,,5237_34th_St_N,8778878560,1957-04-21,25818
Grayson,Rice,gray@company17.com,Logistics,,19801_Gulf_Fwy,2813380459,1992-07-20,71250
Rita,Pedro,rpedro@company18.com,Manufacturing,,1505_Dillingham_Blvd,8088420288,1966-12-28,01464
Kelsey,Sutton,kelsey@company19.com,Finance,,11111_Santa_Monica_Blvd,9517103179,1977-03-15,60934
Sareema,Miah,sareema.miah@company20.com,Transportation,OK,86_Anderson_St,2015250885,1985-08-03,31079
Sanjana,Dora,sanjaradora@company21.com,Retail,,3940_E_65th_Ave,9075295088,1992-03-12,74457
