AccountName,OpportunityName,Stage,CloseDate,LeadSource,ContactPerson,ContactPhone,ContactEmail,AccountAddress,OpportunityAmount
Aeon Innovations,Aeon Innovations - New Logo,Closed Lost,2018-05-22,Partner Referral,Samuel Mitchell,4-326-840-43367,smitchell@aeoninnovations.net,"99 Cedar Avenue, Douglasville Louisiana 18067",719000
Aeon Innovations,Aeon Innovations - Renewal,Qualification,2023-04-01,Partner Referral,Stephanie Waxon,4-528-712-55132,swaxon@aeoninnovations.net,"99 Cedar Avenue, Douglasville Louisiana 18067",211000
Alacrity Corp,Alacrity Corp - New Logo,Prospecting,2023-06-03,Phone Inquiry,Spanky Beesley,2-536-125-70909,sbeesley@alacritycorp.org,"6459 Seventh Dve, Burlington Utah 25822",105000
Apex Dynamics,Apex Dynamics - New Logo,Value Proposition,2023-08-13,Phone Inquiry,Amanda Reynolds,3-227-486-28829,areynolds@apexdynamics.org,"8393 Hill Road, Riverside New York 24993",236000
Apex Ventures,Apex Ventures - New Logo,Prospecting,2024-01-01,Partner Referral,Paul Rodriguez,1-325-244-84246,prodriguez@apexventures.com,"4092 Eighth Street, Chancey West Virginia 63953",934000
Arcadia Enterprises,Arcadia Enterprises - New Logo,Closed Lost,2018-10-05,Partner Referral,Stanley Day,3-700-200-70402,sday@arcadiaenterprises.co,"3830 Second RD., Macon Kansas 85976",612000
Arcadia Enterprises,Arcadia Enterprises - Renewal,Closed Lost,2021-12-19,Partner Referral,Ernest Carr,4-879-252-95463,ecarr@arcadiaenterprises.co,"3830 Second RD., Macon Kansas 85976",732000
Astral Dynamics,Astral Dynamics - New Logo,Qualification,2024-02-01,Web,Amber Thomas,4-324-740-48968,athomas@astraldynamics.com,"3215 Ninth ST, Milton Illinois 59480",679000
Cipher Systems,Cipher Systems - New Logo,Closed Won,2018-01-31,Phone Inquiry,Jennifer Bailey,9-142-337-01200,jbailey@ciphersystems.co,"7098 Third View, Chester Nevada 45529",242000
Cipher Systems,Cipher Systems - Renewal,Value Proposition,2023-07-25,Partner Referral,Joshua Bernard,8-247-108-87635,jbernard@ciphersystems.co,"7098 Third View, Chester Nevada 45529",486000
Eclipse Enterprises,Eclipse Enterprises - New Logo,Closed Lost,2020-08-16,Partner Referral,Katy Ramirez,1-989-221-6300,kramirez@eclipseenterprises.com,"1450 Oak Road, Clayton Delaware 12834",435000
Eclipse Enterprises,Eclipse Enterprises - Renewal,Closed Won,2021-11-27,Partner Referral,Bailey Montana,2-016-837-17919,bmontana@eclipseenterprises.com,"1450 Oak Road, Clayton Delaware 12834",892000
Fusion Technologies,Fusion Technologies - New Logo,Prospecting,2023-06-15,Phone Inquiry,Chelsea Wright,4-465-828-7330,cwright@fusiontechnologies.com,"23 Ninth Street, Ashland Wisconsin 52195",743000
Helix Solutions,Helix Solutions - New Logo,Closed Won,2017-12-14,Phone Inquiry,Emily Stewart,4-973-022-6040,estewart@helixsolutions.org,"1239 Elm Rd., Milton Alabama 23713",702000
Helix Solutions,Helix Solutions - Renewal,Closed Lost,2020-09-02,Partner Referral,Lindsay Thompson,8-580-378-8033,lthompson@helixsolutions.org,"1239 Elm Rd., Milton Alabama 23713",558000
Horizon Industries,Horizon Industries - New Logo,Closed Lost,2017-09-19,Partner Referral,Titto Thomas,9-575-525-08894,tthomas@horizonindustries.co,"3417 Maple Place, Ashland Massachusetts 37804",348000
Horizon Industries,Horizon Industries - Renewal,Closed Lost,2021-12-19,Partner Referral,Elizabeth Kelper,2-383-657-66890,ekelper@horizonindustries.co,"3417 Maple Place, Ashland Massachusetts 37804",42000
Horizon Ventures,Horizon Ventures - New Logo,Closed Won,2019-10-15,Phone Inquiry,Sundesh Reed,4-087-341-3983,sreed@horizonventures.com,"8328 Second Rd., Georgetown Washington 25029",825000
Horizon Ventures,Horizon Ventures - Renewal,Qualification,2023-04-15,Partner Referral,Morgan Reed,2-558-171-98983,mreed@horizonventures.com,"8328 Second Rd., Georgetown Washington 25029",848000
Hypernova Co.,Hypernova Co. - New Logo,Prospecting,2023-04-23,Web,Addison Warren,7-682-729-38245,awarren@hypernovaco..com,"5265 Fifth Avenue, Ashland Georgia 92584",154000
Infinity Dynamics,Infinity Dynamics - New Logo,Closed Won,2022-10-25,Partner Referral,Rodney Bernard,8-162-290-35897,rbernard@infinitydynamics.org,"9015 Cedar Drive, Fairview Missouri 33739",459000
Infinity Dynamics,Infinity Dynamics - Renewal,Closed Lost,2023-02-03,Web,Kaitlyn Hernandez,4-429-794-32202,khernandez@infinitydynamics.org,"9015 Cedar Drive, Fairview Missouri 33739",585000
Infinity Enterprises,Infinity Enterprises - New Logo,Qualification,2023-08-12,Partner Referral,Kaitlyn Montana,3-315-354-20034,kmontana@infinityenterprises.com,"2155 Oak Place, Springfield Oklahoma 99732",540000
